trustor,trustee,product_category,PDR,confidence,timestamp,PDR_normalized,confidence_normalized,friendshipness,interaction_count,total
1,1,3,2,2,03/11/2000 07:00,0.25,0.25,1.0,1,1.5
8,133,3,4,2,12/01/2005 07:00,0.75,0.25,0.026315789,1,1.026315789
25,504,3,4,3,16/11/1999 07:00,0.75,0.5,0.083333333,1,1.333333333
32,638,3,5,3,26/03/2002 07:00,1.0,0.5,0.125,1,1.625
32,655,3,3,3,19/09/2000 07:00,0.5,0.5,0.0344827586206896,1,1.0344827586206895
32,658,3,3,3,02/07/2000 07:00,0.5,0.5,0.0178571428571428,1,1.0178571428571428
36,829,3,5,2,04/07/2000 07:00,1.0,0.25,0.003745318,1,1.253745318
39,883,3,5,3,08/02/2000 07:00,1.0,0.5,0.076923077,1,1.576923077
39,891,3,5,2,03/02/2000 07:00,1.0,0.25,0.0625,1,1.3125
41,1,3,5,2,20/11/2000 07:00,1.0,0.25,0.125,1,1.375
53,1691,3,4,2,18/11/2000 07:00,0.75,0.25,0.0138888888888888,1,1.0138888888888888
58,1899,3,4,2,25/10/2000 07:00,0.75,0.25,0.05,1,1.05
61,1992,3,2,2,20/10/2002 07:00,0.25,0.25,0.0229885057471264,1,0.5229885057471264
61,2000,3,2,2,14/10/2002 07:00,0.25,0.25,0.007633588,1,0.507633588
61,2015,3,2,2,25/09/2002 07:00,0.25,0.25,0.0283687943262411,1,0.5283687943262411
61,2044,3,4,2,05/09/2002 07:00,0.75,0.25,0.006944444,1,1.006944444
61,2099,3,3,2,07/06/2002 07:00,0.5,0.25,0.007407407,1,0.757407407
61,2142,3,4,2,16/04/2002 07:00,0.75,0.25,0.0432098765432098,1,1.0432098765432098
61,2157,3,3,2,20/03/2002 07:00,0.5,0.25,0.007575758,1,0.757575758
61,2158,3,3,2,19/03/2002 07:00,0.5,0.25,0.0122699386503067,1,0.7622699386503067
61,2246,3,4,2,24/09/2001 07:00,0.75,0.25,0.007142857,1,1.007142857
61,504,3,5,2,30/08/2001 07:00,1.0,0.25,0.007692308,1,1.257692308
61,1,3,2,2,23/02/2001 07:00,0.25,0.25,0.007407407,1,0.507407407
61,2490,3,2,2,25/10/2000 07:00,0.25,0.25,0.0112359550561797,1,0.5112359550561797
61,2506,3,4,2,19/10/2000 07:00,0.75,0.25,0.007751938,1,1.007751938
61,1426,3,5,2,13/10/2000 07:00,1.0,0.25,0.043046358,1,1.293046358
70,3197,3,3,2,30/06/2000 07:00,0.5,0.25,0.0178571428571428,1,0.7678571428571428
70,3202,3,2,2,23/06/2000 07:00,0.25,0.25,0.0232558139534883,1,0.5232558139534883
70,3203,3,2,2,23/06/2000 07:00,0.25,0.25,0.0124223602484472,1,0.5124223602484472
70,3213,3,5,2,10/06/2000 07:00,1.0,0.25,0.026666667,1,1.276666667
70,3218,3,4,2,05/06/2000 07:00,0.75,0.25,0.0227272727272727,1,1.0227272727272727
73,1426,3,5,2,09/08/2000 07:00,1.0,0.25,0.005102041,1,1.255102041
81,3542,3,4,2,27/02/2000 07:00,0.75,0.25,0.0476190476190476,1,1.0476190476190477
105,3950,3,5,3,04/01/2000 07:00,1.0,0.5,0.083333333,1,1.583333333
110,4030,3,4,2,23/12/1999 07:00,0.75,0.25,0.018181818,1,1.018181818
118,829,3,5,3,13/06/2000 07:00,1.0,0.5,0.003745318,1,1.503745318
128,4493,3,4,2,06/05/2000 07:00,0.75,0.25,0.0185185185185185,1,1.0185185185185186
128,4526,3,5,2,01/03/2000 07:00,1.0,0.25,0.025641026,1,1.275641026
128,4529,3,5,3,29/02/2000 07:00,1.0,0.5,0.037037037037037,1,1.537037037037037
130,4553,3,3,3,21/12/1999 07:00,0.5,0.5,0.026548673,1,1.026548673
130,1425,3,4,2,03/12/1999 07:00,0.75,0.25,0.0123456790123456,1,1.0123456790123455
130,490,3,2,2,01/11/1999 07:00,0.25,0.25,0.0259740259740259,1,0.5259740259740259
130,891,3,3,2,01/11/1999 07:00,0.5,0.25,0.015625,1,0.765625
130,3575,3,3,3,28/10/1999 07:00,0.5,0.5,0.0144927536231884,1,1.0144927536231885
133,4639,3,5,2,04/05/2008 07:00,1.0,0.25,0.03125,1,1.28125
133,4666,3,4,2,04/09/2002 07:00,0.75,0.25,0.0294117647058823,1,1.0294117647058822
133,917,3,5,2,30/04/2000 07:00,1.0,0.25,0.028571429,1,1.278571429
151,4531,3,2,3,31/03/2000 07:00,0.25,0.5,0.0416666666666666,1,0.7916666666666666
172,5452,3,4,2,05/02/2000 07:00,0.75,0.25,0.025,1,1.025
172,920,3,5,2,21/01/2000 07:00,1.0,0.25,0.024390243902439,1,1.274390243902439
185,3579,3,5,2,28/01/2000 07:00,1.0,0.25,0.1333333333333333,1,1.3833333333333333
199,174,3,5,2,22/11/2006 07:00,1.0,0.25,0.0434782608695652,1,1.2934782608695652
199,6046,3,4,2,13/06/2001 07:00,0.75,0.25,0.0140845070422535,1,1.0140845070422535
201,6118,3,2,2,30/11/2002 07:00,0.25,0.25,0.025641026,1,0.525641026
205,6208,3,5,2,30/12/2000 07:00,1.0,0.25,0.052631579,1,1.302631579
232,4557,3,5,2,22/12/1999 07:00,1.0,0.25,0.1,1,1.35
242,6920,3,5,3,26/01/2008 07:00,1.0,0.5,0.0588235294117647,1,1.5588235294117647
256,4031,3,4,2,15/10/1999 07:00,0.75,0.25,0.076923077,1,1.076923077
256,1426,3,5,2,20/09/1999 07:00,1.0,0.25,0.005076142,1,1.255076142
266,7701,3,4,2,21/05/2006 07:00,0.75,0.25,0.002906977,1,1.002906977
266,7856,3,4,2,04/11/2002 07:00,0.75,0.25,0.008130081,1,1.008130081
279,4060,3,3,2,09/06/2004 07:00,0.5,0.25,0.0434782608695652,1,0.7934782608695652
290,3203,3,5,2,01/01/2000 07:00,1.0,0.25,0.008064516,1,1.258064516
300,4554,3,4,2,15/02/2000 07:00,0.75,0.25,0.028571429,1,1.028571429
300,829,3,5,2,15/02/2000 07:00,1.0,0.25,0.014362657,1,1.264362657
328,9126,3,5,2,19/09/2005 07:00,1.0,0.25,0.1111111111111111,1,1.3611111111111112
345,505,3,4,2,31/01/2000 07:00,0.75,0.25,0.005988024,1,1.005988024
368,1421,3,3,2,25/01/2000 07:00,0.5,0.25,0.066666667,1,0.816666667
369,4856,3,3,2,14/06/2000 07:00,0.5,0.25,0.076923077,1,0.826923077
374,10106,3,4,2,17/11/2007 07:00,0.75,0.25,0.0104166666666666,1,1.0104166666666665
374,10142,3,2,2,21/03/2006 07:00,0.25,0.25,0.0104166666666666,1,0.5104166666666666
374,10180,3,5,2,06/08/2001 07:00,1.0,0.25,0.006622517,1,1.256622517
386,1719,3,2,3,01/01/2000 07:00,0.25,0.5,0.0144927536231884,1,0.7644927536231884
386,10507,3,4,3,10/10/1999 07:00,0.75,0.5,0.035714286,1,1.285714286
386,3798,3,2,3,07/10/1999 07:00,0.25,0.5,0.0188679245283018,1,0.7688679245283018
386,1425,3,3,3,06/10/1999 07:00,0.5,0.5,0.012820513,1,1.012820513
386,10518,3,2,3,04/10/1999 07:00,0.25,0.5,0.0172413793103448,1,0.7672413793103448
386,10521,3,4,3,03/10/1999 07:00,0.75,0.5,0.0185185185185185,1,1.2685185185185186
386,10522,3,3,3,03/10/1999 07:00,0.5,0.5,0.0144927536231884,1,1.0144927536231885
386,3197,3,2,3,03/10/1999 07:00,0.25,0.5,0.0147058823529411,1,0.7647058823529411
386,891,3,2,3,03/10/1999 07:00,0.25,0.5,0.016393443,1,0.766393443
390,1899,3,4,2,21/10/2000 07:00,0.75,0.25,0.0227272727272727,1,1.0227272727272727
395,10679,3,4,2,11/06/2000 07:00,0.75,0.25,0.05,1,1.05
398,883,3,5,2,14/01/2000 07:00,1.0,0.25,0.125,1,1.375
405,10822,3,4,3,25/04/2002 07:00,0.75,0.5,0.0625,1,1.3125
420,1,3,4,2,01/06/2001 07:00,0.75,0.25,0.071428571,1,1.071428571
434,11192,3,4,2,29/08/2000 07:00,0.75,0.25,0.03125,1,1.03125
434,11208,3,4,2,05/03/2000 07:00,0.75,0.25,0.0120481927710843,1,1.0120481927710843
457,11503,3,3,2,21/10/2002 07:00,0.5,0.25,0.015228426395939,1,0.765228426395939
457,11527,3,2,2,30/04/2002 07:00,0.25,0.25,0.0129870129870129,1,0.5129870129870129
457,4030,3,4,2,29/04/2002 07:00,0.75,0.25,0.008547009,1,1.008547009
457,11550,3,4,2,04/04/2002 07:00,0.75,0.25,0.0117647058823529,1,1.011764705882353
457,6564,3,2,2,02/04/2002 07:00,0.25,0.25,0.0116279069767441,1,0.5116279069767441
457,2530,3,5,2,01/04/2002 07:00,1.0,0.25,0.012820513,1,1.262820513
460,11678,3,3,2,21/09/2006 07:00,0.5,0.25,0.0192307692307692,1,0.7692307692307692
461,12021,3,5,2,05/11/2003 07:00,1.0,0.25,0.03125,1,1.28125
474,12399,3,5,2,16/09/2009 07:00,1.0,0.25,0.010752688172043,1,1.260752688172043
474,12407,3,5,2,10/05/2005 07:00,1.0,0.25,0.0252100840336134,1,1.2752100840336134
474,6118,3,3,2,24/11/2002 07:00,0.5,0.25,0.0123456790123456,1,0.7623456790123456
474,1761,3,5,2,16/10/2002 07:00,1.0,0.25,0.0117647058823529,1,1.261764705882353
474,12415,3,5,2,05/10/2002 07:00,1.0,0.25,0.0103092783505154,1,1.2603092783505154
474,844,3,2,2,02/08/2002 07:00,0.25,0.25,0.0144927536231884,1,0.5144927536231884
474,12424,3,3,2,14/04/2002 07:00,0.5,0.25,0.017094017094017,1,0.767094017094017
474,12426,3,4,2,15/03/2002 07:00,0.75,0.25,0.0123456790123456,1,1.0123456790123455
474,12427,3,5,2,28/02/2002 07:00,1.0,0.25,0.0126582278481012,1,1.2626582278481011
474,12432,3,4,2,29/01/2002 07:00,0.75,0.25,0.0153846153846153,1,1.0153846153846153
474,12447,3,5,2,21/05/2001 07:00,1.0,0.25,0.02247191,1,1.27247191
474,12458,3,5,2,19/02/2001 07:00,1.0,0.25,0.0120481927710843,1,1.2620481927710843
474,12464,3,5,2,28/01/2001 07:00,1.0,0.25,0.0117647058823529,1,1.261764705882353
474,12466,3,3,2,23/01/2001 07:00,0.5,0.25,0.004535147,1,0.754535147
474,3313,3,5,2,26/11/2000 07:00,1.0,0.25,0.009433962,1,1.259433962
