trustor,trustee,product_category,PDR,confidence,timestamp,PDR_normalized,confidence_normalized,friendshipness,interaction_count,total
19484,224571,3,3,2,25/02/2000 07:00,0.5,0.25,0.0,1,0.75
15984,22789,3,3,2,16/09/2000 07:00,0.5,0.25,0.0,1,0.75
14994,3354,3,1,2,22/06/2000 07:00,0.0,0.25,0.0,1,0.25
12052,4240,3,3,3,25/12/2003 07:00,0.5,0.5,0.0,1,1.0
21147,24322,3,3,2,06/12/2004 07:00,0.5,0.25,0.0,1,0.75
10795,1591,3,4,2,05/06/2000 07:00,0.75,0.25,0.0,1,1.0
4763,5862,3,4,2,21/02/2003 07:00,0.75,0.25,0.0,1,1.0
7701,21651,3,5,2,26/12/1999 07:00,1.0,0.25,0.0,1,1.25
9473,8045,3,4,2,12/08/2004 07:00,0.75,0.25,0.0,1,1.0
4824,610,3,4,2,06/01/2002 07:00,0.75,0.25,0.0,1,1.0
12728,497,3,3,2,21/04/2000 07:00,0.5,0.25,0.0,1,0.75
4519,117,3,1,3,25/05/2000 07:00,0.0,0.5,0.0,1,0.5
16176,11240,3,5,2,07/06/2002 07:00,1.0,0.25,0.0,1,1.25
12584,100,3,5,2,31/01/2000 07:00,1.0,0.25,0.0,1,1.25
12488,13664,3,4,2,19/02/2006 07:00,0.75,0.25,0.0,1,1.0
17636,108804,3,5,2,18/05/2004 07:00,1.0,0.25,0.0,1,1.25
18408,15787,3,2,3,15/02/2008 07:00,0.25,0.5,0.0,1,0.75
9336,381,3,5,3,30/11/2000 07:00,1.0,0.5,0.0,1,1.5
18463,10533,3,5,2,19/01/2001 07:00,1.0,0.25,0.0,1,1.25
19886,147119,3,4,2,29/07/2002 07:00,0.75,0.25,0.0,1,1.0
7532,142161,3,5,2,01/09/2000 07:00,1.0,0.25,0.0,1,1.25
14274,219763,3,4,2,09/06/2009 07:00,0.75,0.25,0.0,1,1.0
19673,217701,3,5,2,14/04/2010 07:00,1.0,0.25,0.0,1,1.25
7203,41480,3,4,3,18/06/2002 07:00,0.75,0.5,0.0,1,1.25
6155,111446,3,4,3,15/03/2008 07:00,0.75,0.5,0.0,1,1.25
4847,829,3,2,3,26/11/1999 07:00,0.25,0.5,0.047787610619469,1,0.797787610619469
14209,24137,3,2,2,17/05/2001 07:00,0.25,0.25,0.0,1,0.5
14209,36788,3,2,2,12/06/2002 07:00,0.25,0.25,0.0,1,0.5
21745,85769,3,2,2,04/02/2008 07:00,0.25,0.25,0.0,1,0.5
8402,25682,3,1,2,24/04/2006 07:00,0.0,0.25,0.0,1,0.25
6197,122020,3,4,2,17/09/2003 07:00,0.75,0.25,0.0,1,1.0
10201,8497,3,4,2,10/06/2005 07:00,0.75,0.25,0.0,1,1.0
19886,277307,3,3,2,03/07/2005 07:00,0.5,0.25,0.0,1,0.75
12407,11523,3,2,2,04/01/2002 07:00,0.25,0.25,0.0,1,0.5
14067,3492,3,3,2,18/10/2000 07:00,0.5,0.25,0.0,1,0.75
3242,76267,3,4,2,19/09/2005 07:00,0.75,0.25,0.0,1,1.0
5832,115752,3,5,2,17/03/2002 07:00,1.0,0.25,0.0,1,1.25
19412,10022,3,3,2,04/07/2000 07:00,0.5,0.25,0.031413612565445,1,0.781413612565445
1927,5035,3,5,2,22/12/2000 07:00,1.0,0.25,0.0,1,1.25
5642,23040,3,4,2,29/01/2008 07:00,0.75,0.25,0.0,1,1.0
17640,13015,3,5,2,30/07/2001 07:00,1.0,0.25,0.0,1,1.25
15850,70095,3,5,2,16/06/2006 07:00,1.0,0.25,0.0,1,1.25
5480,14733,3,3,4,28/10/2003 07:00,0.5,0.75,0.0,1,1.25
19577,14091,3,2,2,18/11/2000 07:00,0.25,0.25,0.0,1,0.5
14287,16496,3,3,2,21/03/2003 07:00,0.5,0.25,0.0,1,0.75
6445,124375,3,3,3,25/07/2001 07:00,0.5,0.5,0.0,1,1.0
13476,208532,3,4,2,17/12/2003 07:00,0.75,0.25,0.0,1,1.0
15827,13317,3,5,2,29/04/2011 07:00,1.0,0.25,0.0,1,1.25
11622,10589,3,5,2,24/11/2000 07:00,1.0,0.25,0.0,1,1.25
17695,36396,3,4,2,24/04/2008 07:00,0.75,0.25,0.0,1,1.0
4882,27902,3,2,2,08/02/2010 07:00,0.25,0.25,0.0,1,0.5
18907,51774,3,5,4,04/04/2004 07:00,1.0,0.75,0.0,1,1.75
16504,245502,3,5,3,03/04/2001 07:00,1.0,0.5,0.0,1,1.5
15961,13397,3,5,4,18/12/2009 07:00,1.0,0.75,0.0,1,1.75
11888,12464,3,4,2,26/06/2002 07:00,0.75,0.25,0.0,1,1.0
19239,78722,3,5,2,10/09/2001 07:00,1.0,0.25,0.0,1,1.25
